ds,yhat,yhat_lower,yhat_upper
2014-01-31,2258.9711202864655,-1639.117991392235,5886.20155079999
2014-02-28,-184.97394013827943,-4110.261068525904,3859.9490102187624
2014-03-31,13514.365157351836,9606.04722802707,17586.596084619898
2014-04-30,6525.495693177327,2657.5782401003307,10506.222859601037
2014-05-31,7441.121286301138,3710.0624467680823,11438.296241824852
2014-06-30,6553.485671581575,2604.531775170642,10533.44864729731
2014-07-31,11743.774143331431,7827.1759718892645,15465.012138700138
2014-08-31,12158.717121551455,7900.781072086413,16249.549599050884
2014-09-30,14910.447664032616,11336.318956255105,18658.474344543385
2014-10-31,10993.853200200036,6952.121322378459,14811.231116508616
2014-11-30,17875.826531476814,14015.461274333693,21801.26689877828
2014-12-31,24940.95530963259,21077.493000779265,28877.53676125319
2015-01-31,4124.10540987975,300.31331850284505,7879.76191125734
2015-02-28,3508.2051924897423,-272.8114439402732,7278.281586742608
2015-03-31,15858.121092942652,11836.263549931606,19545.552773215917
2015-04-30,10371.950008855638,6356.936860929263,14422.448142592244
2015-05-31,11720.65390449151,8040.503790233712,15816.834795848717
2015-06-30,6964.007632748459,2913.893347161235,10932.299676834145
2015-07-31,14800.147549271209,10931.442381951761,18767.77317333251
2015-08-31,16745.375395308172,12904.324987061638,20757.125315401725
2015-09-30,16505.601027586377,12764.58148265755,20580.457450613674
2015-10-31,15158.506242017842,11258.063931332044,19155.822470590585
2015-11-30,20248.200386148597,16434.79281519788,24260.359630669544
2015-12-31,28534.447107847627,24637.39474445441,32637.42384089623
2016-01-31,5995.91590115683,2177.96908706472,10129.42214268667
2016-02-29,4392.144320204967,755.1678763802471,8072.874466464923
2016-03-31,20768.095164480106,16790.808926366004,24606.535045205943
2016-04-30,10802.924874471782,6703.3991505218855,14723.91417839851
2016-05-31,10680.46140449568,6733.937584989593,14465.307804755232
2016-06-30,17626.395143016434,13787.991468278602,21605.036414858543
2016-07-31,17707.327580017736,13956.47236859945,21907.92911120628
2016-08-31,14913.240524500516,10825.16133582464,18901.781240915065
2016-09-30,23642.493600307134,19576.847013470946,27643.909646832253
2016-10-31,14630.489295138366,10662.653209141146,18636.65613395629
2016-11-30,25041.989475078954,21340.67426756109,28651.39675846547
2016-12-31,29650.990989522485,25759.038389426794,33651.13735449709
2017-01-31,12335.046226638542,8766.214927072177,16073.865425448874
2017-02-28,8075.9890450908715,4299.367260502207,11892.886719676031
2017-03-31,23118.57978166343,18875.73822875394,27061.341690240195
2017-04-30,14637.19347405409,10963.574094309031,18564.109534182655
2017-05-31,15063.430201443254,11001.200856872403,19104.49860297756
2017-06-30,18078.886960531545,14309.117327401153,21916.92746714074
2017-07-31,20684.321134259648,16720.155706286845,24620.13346257589
2017-08-31,19519.98209678608,15745.811501143708,23178.806142409547
2017-09-30,25263.276053084235,21247.488735407296,29132.41750267709
2017-10-31,18792.262955682898,14938.944399646845,22488.935893958296
2017-11-30,27449.68073837959,23417.220955908215,31378.69152208672
2017-12-31,33290.19187171766,29592.090953559033,37282.05106308959
2018-01-31,14215.908185398774,10148.380544936022,17976.700231164003
2018-02-28,11773.245590180311,7952.780880288049,15826.416405504277
2018-03-31,25474.004549408633,21498.05214243352,29575.26073165779
2018-04-30,18486.50914496127,14672.476149966542,22342.437773017857
2018-05-31,19403.55458232015,15113.00306161369,23209.112104303334
2018-06-30,18517.293005242434,14371.452300374132,21922.897542354778
