ds,yhat,yhat_lower,yhat_upper,Year,Month
2014-01-31,20129.113471266726,13947.94150656148,26600.707564912256,2014,January
2014-02-28,11006.599699183447,4914.85191231041,17422.106905044515,2014,February
2014-03-31,32334.48657829364,25805.668214692625,38621.892879548905,2014,March
2014-04-30,27374.8939959157,21143.1477060133,33468.36234118832,2014,April
2014-05-31,27332.18421050526,20727.00459948394,33498.4456409877,2014,May
2014-06-30,28806.30449421333,22401.109627768677,35005.700515912795,2014,June
2014-07-31,27493.46540400329,21332.130934062083,33997.30645189883,2014,July
2014-08-31,30209.691275216257,23548.668804476165,36685.3738761893,2014,August
2014-09-30,51930.21085163744,45342.38531800033,58047.48816583643,2014,September
2014-10-31,32683.816418344893,26205.576390773156,39062.57256661375,2014,October
2014-11-30,62138.98207760731,56128.40967582997,68044.31407442052,2014,November
2014-12-31,58231.94789769119,51813.67486464845,64624.09594903775,2014,December
2015-01-31,20113.194449393428,13923.487596953986,26174.557370646944,2015,January
2015-02-28,12949.053932071009,6624.857950678247,19138.377541989124,2015,February
2015-03-31,40691.12906463348,34348.60212985699,47257.71201443223,2015,March
2015-04-30,36189.85571609558,29812.302063992855,42785.12200920308,2015,April
2015-05-31,29707.054055266,23304.166209104205,36112.29226998587,2015,May
2015-06-30,32551.821940861217,26152.311978280784,38658.5099526216,2015,June
2015-07-31,32224.21454855337,25658.37345652213,38113.36695349283,2015,July
2015-08-31,37694.24538010728,31375.01604671319,44064.27238001886,2015,August
2015-09-30,61501.97723237133,55230.65841901655,67611.84886246447,2015,September
2015-10-31,35921.26535350811,29533.73506921933,42553.76310870009,2015,October
2015-11-30,75504.58059285702,69558.33712128132,81660.5659071634,2015,November
2015-12-31,70887.80152201846,64870.09366615969,77397.65419025201,2015,December
2016-01-31,18656.38552606229,12375.009217228002,24460.23763853776,2016,January
2016-02-29,16405.8574615341,9870.428120089337,22992.09347248773,2016,February
2016-03-31,40725.53323998094,34869.63138652632,46964.3636598565,2016,March
2016-04-30,29645.584577419377,23520.39210368709,35755.14047937942,2016,April
2016-05-31,44114.305440674034,37852.49645441416,50395.88974017875,2016,May
2016-06-30,43644.834537218325,37235.85994924128,50073.90819111672,2016,June
2016-07-31,38760.720337624,32713.74810295785,45762.12605721488,2016,July
2016-08-31,36776.98743957383,30568.56464750723,43010.128959339774,2016,August
2016-09-30,69905.4184097984,64063.10520919189,76392.96449894772,2016,September
2016-10-31,50265.10624129754,43890.771696887954,56582.16624331316,2016,October
2016-11-30,78187.5643089864,71869.505777426,84114.94285886777,2016,November
2016-12-31,71875.99145727682,65183.96960390162,78311.12627228867,2016,December
2017-01-31,37936.74094761099,31876.11430225274,44655.364876152686,2017,January
2017-02-28,18143.212361101287,11472.020826627531,24459.932607364808,2017,February
2017-03-31,48983.799981925134,42916.006833437015,55137.75934368176,2017,March
2017-04-30,38636.6884000114,32466.7779262492,44816.29419479439,2017,April
2017-05-31,46700.46102096928,40421.89744658481,53033.13713513339,2017,May
2017-06-30,47358.08655789367,41189.18468189953,53617.78320075237,2017,June
2017-07-31,43374.75755406638,37041.16658015675,49501.73701410293,2017,July
2017-08-31,44230.15555112502,37468.71456114977,50477.5877107904,2017,August
2017-09-30,79625.6655160741,73494.3551502289,86014.309170678,2017,September
2017-10-31,53453.33073235776,47178.942291785264,59881.7137327862,2017,October
2017-11-30,91526.27669261768,84989.3949173039,98014.1833171317,2017,November
2017-12-31,84800.45809591687,78626.24565508992,91433.1040001352,2017,December
2018-01-31,36595.44380815224,30122.239701010272,42629.05758663524,2018,January
2018-02-28,19872.366134680564,13439.587638077146,26094.22154533413,2018,February
2018-03-31,57945.17622593572,51568.5456275817,64450.56556861141,2018,March
2018-04-30,48712.809739584,42533.74943741117,55233.149872801965,2018,April
2018-05-31,48292.72974727666,42132.94534418878,54549.20536923113,2018,May
2018-06-30,50557.42301661236,43961.63323703035,56722.88434109718,2018,June
